R2-PINH,153.61,6.14,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,90.38,59.94,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,151.33,49.18,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,158.15,51.87,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,130.41,49.70,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,72.16,16.88,180.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,69.19,13.21,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,34.66,48.46,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,72.58,28.66,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,53.95,31.81,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,7.42,100.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,51.64,31.86,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64.05,108.91,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,19.16,108.28,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,90.60,49.79,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,53.27,108.43,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,74.61,28.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.39,108.43,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,153.92,11.37,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,65.96,12.29,0.00,,SJ
TP1,57.96,93.89,0.00,TX,TP20R
TP10,6.63,15.16,0.00,EPD_CS,TP20R
TP11,14.09,13.14,0.00,EPD_DC,TP20R
TP12,20.88,8.91,0.00,EPD_RST,TP20R
TP13,32.33,14.66,0.00,EPD_3V3_C,TP20R
TP14,125.88,61.91,0.00,VBUS,TP20R
TP15,37.58,16.46,0.00,INT_RTC,TP20R
TP16,69.43,96.81,0.00,3V3,TP20R
TP17,49.93,13.66,0.00,EPD_3V3,TP20R
TP2,53.08,92.19,0.00,RX,TP20R
TP3,133.55,62.19,0.00,VBAT,TP20R
TP4,76.42,96.64,0.00,GND,TP20R
TP5,83.69,96.64,0.00,GND,TP20R
TP6,58.41,96.69,0.00,MISO,TP20R
TP7,62.58,87.04,0.00,MOSI,TP20R
TP8,68.25,87.09,0.00,SCK,TP20R
TP9,65.97,96.89,0.00,EPD_BUSY,TP20R
U1,41.39,55.06,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.05,53.74,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,83.40,54.15,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,143.19,52.52,0.00,MAX17048G+T10,SON50P200X200X80-9N
